server_id,user_id
BBG002CN8XN5,NASDAQ:GOGO
BBG002B04MT8,NYSE:UBER
BBG0029ZX840,NYSE:TWLO
BBG0029SNR63,NYSE:CPRI
BBG0029BK2G7,NYSE:DATA
BBG0027Y18M0,NYSE:WP
BBG0025YWQ66,NYSE:FIT
BBG0025X16Y5,NASDAQ:SAGE
BBG0025F81C2,NASDAQ:MLNT
BBG002583CV8,NYSE:PINS
BBG0022FDRY8,NASDAQ:MDB
BBG00212PVZ5,NYSE:PSTG
BBG0020B4JG7,NASDAQ:FEYE
BBG001ZZPQJ6,NASDAQ:ROKU
BBG001YV1SM4,NASDAQ:OKTA
BBG001YKDND6,NYSE:LC
BBG001V59J64,NYSE:TSE
BBG001RWPDW6,NASDAQ:RARE
BBG001R72SR9,NASDAQ:UBNT
BBG001QZCPJ2,NASDAQ:AMBA
BBG001QSGW81,NASDAQ:CLVS
BBG001QD41M9,NYSE:APTV
BBG001Q9P0K9,NASDAQ:RDUS
BBG001P6MYV3,NASDAQ:TRUE
BBG001P63B80,NASDAQ:CDW
BBG001P3K000,NASDAQ:DNKN
BBG001NY45K9,NYSE:WPX
BBG001NVJ6W4,NASDAQ:YNDX
BBG001NFKJ68,NYSE:NEWR
BBG001NDW1Z7,NASDAQ:NTNX
BBG001M8HHB7,NASDAQ:TRIP
BBG001LWHLJ8,NASDAQ:GPRO
BBG001KY4N87,NYSE:ARMK
BBG001KY3845,NYSE:ALSN
BBG001KWG293,NYSE:GRUB
BBG001KS9450,NASDAQ:TWOU
BBG001K61W36,NYSE:NVRO
BBG001J4BCN4,NASDAQ:COUP
BBG001J2R5H3,NYSE:VAC
BBG001J2P692,NASDAQ:LIFE
BBG001J1QN87,NASDAQ:ICPT
BBG001HRFJG4,NYSE:ZEN
BBG001CGB489,NYSE:VEEV
BBG001C7TST4,NASDAQ:SPLK
BBG001C7PM75,NYSE:GWRE
BBG001BP92V1,NYSE:PEN
BBG001B17MV2,NYSE:W
BBG0019V9M65,NASDAQ:TNDM
BBG0019T5SG0,NYSE:TDOC
BBG0019LSQ49,NYSE:FRC
BBG0019JZ882,NYSE:KMI
BBG0018YXYX7,NASDAQ:PBYI
BBG0018SLDN0,NASDAQ:DBX
BBG0018SLC07,NYSE:SQ
BBG0018FQNS6,NASDAQ:PCRX
BBG0017T9998,NASDAQ:CZR
BBG0016X4XN6,NASDAQ:CSOD
BBG0016WLQ18,NYSE:GNC
BBG0016T3GQ0,NASDAQ:VC
BBG0015XMW40,US:TRGP
BBG0014XR0N5,NYSE:CHGG
BBG0014GJCT9,NYSE:PANW
BBG0014FFY08,NASDAQ:HZNP
BBG000VZHLL9,NYSE:KAR
BBG000VPGNR2,NASDAQ:CHTR
BBG000VMWHH5,NASDAQ:DISCK
BBG000VD6768,NASDAQ:ZNGA
BBG000VCQPM0,NASDAQ:MDSO
BBG000VC0T95,NASDAQ:WDAY
BBG000V78V75,US:FAF
BBG000V1Y6Q3,NYSE:IPI
BBG000TVRB50,NASDAQ:TREE
BBG000TRJ294,NYSE:AWK
BBG000TJM7F0,NYSE:KDP
BBG000TCD088,NYSE:DAN
BBG000TBYFR3,US:PAGP
BBG000RTDY25,NYSE:MSCI
BBG000RQ2GY7,NASDAQ:PFPT
BBG000RJ2J04,NASDAQ:SSNC
BBG000RGM5P1,NYSE:TEL
BBG000RD3CL8,NYSE:FNV
BBG000R8ZVD1,NASDAQ:LULU
BBG000R8RSL8,NASDAQ:PTLA
BBG000R7Z112,NYSE:DAL
BBG000R7XX87,NASDAQ:PODD
BBG000R7RDB4,NYSE:CXO
BBG000R4Y9C1,NYSE:AVLR
BBG000R3RKT8,NASDAQ:BEAT
BBG000R2YFG7,NYSE:BAH
BBG000R23VW8,NYSE:IPHI
BBG000R0L5J4,NYSE:TDC
BBG000QY4ZD0,NASDAQ:AGIO
BBG000QY3XZ2,NASDAQ:EXPE
BBG000QX74T1,NYSE:CMG
BBG000QW7VC1,NYSE:HCA
BBG000QTF8K1,NASDAQ:DXCM
BBG000QT15P7,NASDAQ:PTCT
BBG000QS6NV8,NASDAQ:MDGL
BBG000QRSL13,NASDAQ:DRYS
BBG000QRKJ70,NASDAQ:GRPN
BBG000QNRY51,NASDAQ:ARAY
BBG000QN4GY3,NYSE:RLGY
BBG000QL9YL7,NASDAQ:GLUU
BBG000QL8VH9,NASDAQ:XON
BBG000QKPTS5,NYSE:LL
BBG000QHV8S1,NYSE:CVI
BBG000QH56C1,NASDAQ:CBOE
BBG000QGWY50,NASDAQ:BLUE
BBG000QFJJW0,NASDAQ:OZK
BBG000QFJ7H3,NYSE:OAS
BBG000QDVR53,NYSE:CNK
BBG000QBR5J5,NYSE:DFS
BBG000QB2L61,NYSE:EXPR
BBG000Q9FZL4,NYSE:AER
BBG000Q5VCD4,NASDAQ:NCMI
